Gene Number, Result1
g1,0.464156447584732
g2,0.7148135252865171
g3,0.48987305304368456
g4,0.39065545397115925
g5,0.1689164525521467
g6,0.052604505467270246
g7,0.061256888313775036
g8,0.5419103209006358
g9,0.1576159500626368
g10,0.24526025397981874
g11,0.48573390229741825
g12,0.2657687629147862
g13,0.7431925998689588
g14,0.2741610767375413
g15,0.2062011055155941
g16,0.221818603067957
g17,0.24034583927463962
g18,0.23461006990942865
g19,0.6091128161045313
g20,0.15701493769314773
g21,0.7814983340698513
g22,0.18718984390449578
g23,0.021753134457265844
g24,0.22071485238699215
g25,0.22730051322743164
g26,0.34567058579427706
g27,0.24706414901650972
g28,0.27944006437474805
g29,0.34966190664026986
g30,0.4523412171911065
g31,0.24578201181644108
g32,0.9651070372235635
g33,0.13893370808147246
g34,0.010816640710113568
g35,0.4398850556356731
g36,0.23455605324058196
g37,0.6064912082872751
g38,0.1907509397429507
g39,0.2865010545309354
g40,0.430701263606228
g41,0.21180276355894032
g42,0.26312299982126724
g43,0.12247700519485415
g44,0.5830431183451273
g45,0.07217837328742222
g46,0.6578204873298045
g47,0.17383798678171772
g48,0.4696051569011725
g49,0.23147719381277074
g50,0.5392628791386531
g51,0.4166812813755883
g52,0.2734639729168645
g53,0.30802937430838473
g54,0.23269482556325244
g55,0.22878122366937687
g56,0.1494843776673348
g57,0.31973298142251705
g58,0.17035590320270136
g59,0.32096954602011124
g60,0.002110882206588958
g61,0.2945008146953048
g62,0.05052109734263456
g63,0.14447808134552642
g64,0.025603132720540538
g65,0.17232303111552272
g66,0.08278150830639877
g67,0.07558151107806939
g68,0.3132052426184086
g69,0.23995758513746238
g70,0.41742165429029926
g71,0.13712669529399002
g72,0.4269645486516656
g73,0.19774337919457857
g74,0.15734386779774337
g75,0.25584123920359064
g76,0.3065690429800316
g77,0.30364699320982774
g78,0.3290344945632193
g79,0.042084617830431735
g80,0.22666261128245518
g81,0.24815321420002365
g82,0.4519812045234139
g83,0.07968323384256137
g84,0.5249482022852178
g85,0.5770352726604066
g86,0.25474681914703023
g87,0.2940636802616659
g88,0.1346530866150506
g89,0.09182244008319167
g90,0.20412204495814368
g91,0.5354406812668434
g92,0.6221636651114781
g93,0.21298246041860888
g94,0.14561559189744058
g95,0.17312420341145504
g96,0.045430242165312634
g97,0.14008192586828333
g98,0.16166348619632037
g99,0.02645360136779752
g100,0.6034747814097021
g101,0.1672095022741895
g102,0.031066077128841525
g103,0.11125733294390298
g104,0.24416108784944904
g105,0.12767145504986713
g106,0.09329580880519786
g107,0.4550163871946657
g108,0.039022768444719344
g109,0.10589382691622448
g110,0.17084616754109402
g111,0.3491213170176573
g112,0.28423723955971636
g113,0.15380090584529676
g114,0.1268907175970026
g115,0.01424781903593082
g116,0.43821693288650143
g117,0.3998464908955364
g118,0.07923778095472442
g119,0.044276494344386026
g120,0.2958116030464682
g121,0.04783501330305894
g122,0.07627870011534707
g123,0.12142326543778491
g124,0.6050374477076531
g125,0.1510952840733866
g126,0.38837350784955305
g127,0.2717330472552754
g128,0.4360351370287921
g129,0.09851751165970536
g130,0.32763444692220717
g131,0.25981221398946913
g132,0.26535400104458895
g133,0.08974111326623244
g134,0.31005137817501643
g135,0.11699199529183978
g136,0.6469393998298472
g137,0.15443438711045315
g138,0.2528168418131203
g139,0.035672806938125974
g140,0.1170664321393839
g141,0.013819587155520029
g142,0.12797744081669302
g143,0.08400649029572367
g144,0.09225480539506115
g145,0.20123282634121525
g146,0.40179590699134166
g147,0.2665297940786968
g148,0.007375383694159478
g149,0.32121201861773885
g150,0.12264209110144587
g151,0.02285735621910924
g152,0.14453655901753704
g153,0.3422550760829893
g154,0.446855331391851
g155,0.11332579611376248
g156,0.2959763148780746
g157,0.16713377289626521
g158,0.4638271273849264
g159,0.1117595690759375
g160,0.09175242832533557
g161,0.26581796454021317
g162,0.22905214840783272
g163,0.7401190351599698
g164,0.3665653995856777
g165,0.161931758193021
g166,0.36696547049174444
g167,0.041499497718804915
g168,0.36200762154486466
g169,0.7222968744352085
g170,0.11834329832862403
g171,0.17831814881253014
g172,0.22572450466688757
g173,0.281560717602165
g174,0.3886600983298994
g175,0.14441836998337224
g176,1.0803710656300483
g177,0.2538224191861171
g178,0.16173915821965704
g179,0.27939508807588526
g180,0.41986183232699525
g181,0.33348674613929014
g182,0.2165283736815869
g183,0.053748266250518234
g184,0.1151315842659606
g185,0.5239749278970586
g186,0.1114674613537328
g187,0.4218391617709771
g188,0.3868977219184454
g189,0.28129787096998005
g190,0.46589615952899693
g191,0.22688711073476023
g192,0.17691325940092265
g193,0.040588913176953706
g194,0.2540487372689701
g195,0.20879057852315105
g196,0.31531575329120964
g197,0.0676083580155299
g198,0.11400439273194822
g199,0.49726654165588424
g200,0.1983546385275564
g201,0.042077023154278845
g202,0.10221063857222942
g203,0.2578030448361843
g204,0.007230226964706718
g205,0.12335970143978203
g206,0.023929530634876652
g207,0.11746961336031535
g208,0.19082599705179878
g209,0.16751400139029035
g210,0.3669575572742092
g211,0.4528869837854911
g212,0.611065065205716
g213,0.2735602294085601
g214,0.49627363080266274
g215,0.7302421029139851
g216,0.19272610321516906
g217,0.5264295423861035
g218,0.2434961427960771
g219,0.04153568806043225
g220,0.2531617633479888
g221,0.5207543722481621
g222,0.08139341067240252
g223,0.5306976157098924
g224,0.23716057078244762
g225,0.6288918139045578
g226,0.5685357135383422
g227,0.11554900521257855
g228,0.6800133711089189
g229,0.40562391648115564
g230,0.4274080400246339
g231,0.8783147347629346
g232,0.23714490562240673
g233,0.049898348545189895
g234,0.1305791521765049
g235,0.37347192245967126
g236,0.2778593369671904
g237,0.2854598296515592
g238,0.06807186274472783
g239,0.23609116005429837
g240,0.025820821048185887
g241,0.23610705051940492
g242,0.1682268108150016
g243,0.18830503093789921
g244,0.05708427020498784
g245,0.11549819661841237
g246,0.30723587159982046
g247,0.2463164272473555
g248,0.0771623570740907
g249,0.1128003304326475
g250,0.493576685421153
g251,0.031047814441250952
g252,0.42407860981962975
g253,0.11003525454684837
g254,0.2971189350444669
g255,0.02076695232325909
g256,0.008591016202563606
g257,0.10385243373185499
g258,0.0923457467002056
g259,0.21030455469309128
g260,0.4836956372524602
g261,0.0663656656901612
g262,0.12716314134192133
g263,0.4583027313478256
g264,0.1124369892783676
g265,0.21403658836604
g266,0.41481094222519577
g267,0.4703543662876294
g268,0.4406624522857852
g269,0.3176128767413752
g270,0.37024970092912185
g271,0.005304309754081892
g272,0.33719987263291007
g273,0.6250244697866527
g274,0.20145692392326514
g275,0.6108621740987075
g276,0.7186892904716792
g277,0.33275295100958224
g278,0.16957835029663437
g279,0.2802856020069186
g280,0.5128844938788706
g281,0.2621280491217594
g282,0.5072918333971813
g283,0.09651525773114429
g284,0.1109758411611934
g285,0.23393268128032335
g286,0.5412805941456211
g287,0.2892707712263818
g288,0.13820982556838124
g289,0.12205077732324843
g290,0.053824891431296144
g291,0.4946480545634712
g292,0.02417684941555685
g293,0.2989349757708278
g294,0.2640611850093789
g295,0.565715634606762
g296,0.27584059444369846
g297,0.465027454401662
g298,0.31093235138606534
g299,0.07000464547454886
g300,0.08996939498068485
